"Initial_Coral","Fishing_Pressure","Final_Coral","betaT","betaM"
0.06,0.2,0.679446629955447,0.7,0.3
0.08,0.2,0.679446629955447,0.7,0.3
0.1,0.2,0.679446629955447,0.7,0.3
0.12,0.2,0.679446629955447,0.7,0.3
0.14,0.2,0.679446629955447,0.7,0.3
0.16,0.2,0.679446629955447,0.7,0.3
0.18,0.2,0.679446629955447,0.7,0.3
0.2,0.2,0.679446629955447,0.7,0.3
0.22,0.2,0.679446629955447,0.7,0.3
0.24,0.2,0.679446629955447,0.7,0.3
0.26,0.2,0.679446629955447,0.7,0.3
0.28,0.2,0.679446629955447,0.7,0.3
0.3,0.2,0.679446629955447,0.7,0.3
0.32,0.2,0.679446629955447,0.7,0.3
0.34,0.2,0.679446629955447,0.7,0.3
0.36,0.2,0.679446629955447,0.7,0.3
0.38,0.2,0.679446629955447,0.7,0.3
0.4,0.2,0.679446629955447,0.7,0.3
0.42,0.2,0.679446629955447,0.7,0.3
0.44,0.2,0.679446629955447,0.7,0.3
0.46,0.2,0.679446629955447,0.7,0.3
0.48,0.2,0.679446629955447,0.7,0.3
0.5,0.2,0.679446629955447,0.7,0.3
0.52,0.2,0.679446629955447,0.7,0.3
0.54,0.2,0.679446629955447,0.7,0.3
0.56,0.2,0.679446629955447,0.7,0.3
0.58,0.2,0.679446629955447,0.7,0.3
0.6,0.2,0.679446629955447,0.7,0.3
0.62,0.2,0.679446629955447,0.7,0.3
0.64,0.2,0.679446629955447,0.7,0.3
0.66,0.2,0.679446629955447,0.7,0.3
0.68,0.2,0.679446629955447,0.7,0.3
0.7,0.2,0.679446629955447,0.7,0.3
0.72,0.2,0.679446629955447,0.7,0.3
0.74,0.2,0.679446629955453,0.7,0.3
0.76,0.2,0.679446629955453,0.7,0.3
0.78,0.2,0.679446629955453,0.7,0.3
0.8,0.2,0.679446629955453,0.7,0.3
0.82,0.2,0.679446629955453,0.7,0.3
0.84,0.2,0.679446629955453,0.7,0.3
0,0.22,0.67739920070768,0.7,0.3
0.02,0.22,0.67739920070768,0.7,0.3
0.04,0.22,0.67739920070768,0.7,0.3
0.06,0.22,0.67739920070768,0.7,0.3
0.08,0.22,0.67739920070768,0.7,0.3
0.1,0.22,0.67739920070768,0.7,0.3
0.12,0.22,0.67739920070768,0.7,0.3
0.14,0.22,0.67739920070768,0.7,0.3
0.16,0.22,0.67739920070768,0.7,0.3
0.18,0.22,0.67739920070768,0.7,0.3
0.2,0.22,0.67739920070768,0.7,0.3
0.22,0.22,0.67739920070768,0.7,0.3
0.24,0.22,0.67739920070768,0.7,0.3
0.26,0.22,0.67739920070768,0.7,0.3
0.28,0.22,0.67739920070768,0.7,0.3
0.3,0.22,0.67739920070768,0.7,0.3
0.32,0.22,0.67739920070768,0.7,0.3
0.34,0.22,0.67739920070768,0.7,0.3
0.36,0.22,0.67739920070768,0.7,0.3
0.38,0.22,0.67739920070768,0.7,0.3
0.4,0.22,0.67739920070768,0.7,0.3
0.42,0.22,0.67739920070768,0.7,0.3
0.44,0.22,0.67739920070768,0.7,0.3
0.46,0.22,0.67739920070768,0.7,0.3
0.48,0.22,0.67739920070768,0.7,0.3
0.5,0.22,0.67739920070768,0.7,0.3
0.52,0.22,0.67739920070768,0.7,0.3
